n1,n0,kappa,delta,seed,large_gap_position,separation_multiplier,predicted_scale,separation,anomaly_gap_min,anomaly_gap_max,normal_gap_min,normal_gap_max,assumption_4_2,n1_over_n0,anomaly_witness_index,anomaly_witness_depth,normal_witness_index,normal_witness_depth,failure_margin,anomaly_limit_depth,normal_limit_depth,infinite_failure_margin
65,4225,422500.0,422499.0,0,0,1000.0,1785062500.0,1785062500000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085667262509295,65,2.0099458689929466,-8.075721393516348,10.085667023475146,2.009945632271319,-8.075721391203828
65,4225,422500.0,422499.0,1,31,1.0,1785062500.0,1785062500.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,48,8.761732471892682,65,2.010182297939191,-6.751550173953491,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,1,31,10.0,1785062500.0,17850625000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,48,8.761517389045098,65,2.0099693038793855,-6.751548085165712,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,1,31,1000.0,1785062500.0,1785062500000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,48,8.761493724336972,65,2.0099458689929466,-6.751547855344025,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,2,32,1.0,1785062500.0,1785062500.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,16,8.76149576761108,65,2.010182297939191,-6.7513134696718895,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,2,32,10.0,1785062500.0,17850625000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,16,8.761493718663921,65,2.0099693038793855,-6.7515244147845355,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,2,32,1000.0,1785062500.0,1785062500000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,16,8.761493487633217,65,2.0099458689929466,-6.75154761864027,8.761493485293862,2.009945632271319,-6.751547853022543
65,4225,422500.0,422499.0,3,63,1.0,1785062500.0,1785062500.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085669314753536,65,2.01018229793919,-8.075487016814346,10.085667023475146,2.009945632271319,-8.075721391203828
65,4225,422500.0,422499.0,3,63,10.0,1785062500.0,17850625000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085667257741513,65,2.0099693038793855,-8.075697953862127,10.085667023475146,2.009945632271319,-8.075721391203828
65,4225,422500.0,422499.0,3,63,1000.0,1785062500.0,1785062500000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085667025823465,65,2.0099458689929466,-8.075721156830518,10.085667023475146,2.009945632271319,-8.075721391203828
